DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
89	-0.235955056179775	0.258426966292135	-0.348314606741573	0.337078651685393	0.337078651685393	0.674157303370786	0.280898876404494	0.730337078651685	0.314606741573034	0.685393258426966	0.269662921348315	0.752808988764045
90	-0.255555555555556	0.244444444444444	-0.344444444444444	0.322222222222222	0.311111111111111	0.666666666666667	0.277777777777778	0.744444444444444	0.322222222222222	0.677777777777778	0.266666666666667	0.711111111111111
91	-0.252747252747253	0.230769230769231	-0.351648351648352	0.318681318681319	0.32967032967033	0.67032967032967	0.274725274725275	0.725274725274725	0.32967032967033	0.681318681318681	0.285714285714286	0.736263736263736
92	-0.25	0.25	-0.315217391304348	0.326086956521739	0.326086956521739	0.673913043478261	0.260869565217391	0.728260869565217	0.315217391304348	0.673913043478261	0.282608695652174	0.717391304347826
93	-0.258064516129032	0.247311827956989	-0.333333333333333	0.311827956989247	0.32258064516129	0.67741935483871	0.268817204301075	0.741935483870968	0.32258064516129	0.67741935483871	0.279569892473118	0.741935483870968
94	-0.24468085106383	0.25531914893617	-0.340425531914894	0.340425531914894	0.340425531914894	0.680851063829787	0.297872340425532	0.734042553191489	0.329787234042553	0.680851063829787	0.276595744680851	0.734042553191489
95	-0.252631578947368	0.252631578947368	-0.326315789473684	0.336842105263158	0.326315789473684	0.673684210526316	0.273684210526316	0.726315789473684	0.336842105263158	0.663157894736842	0.252631578947368	0.715789473684211
96	-0.239583333333333	0.25	-0.302083333333333	0.34375	0.322916666666667	0.677083333333333	0.291666666666667	0.708333333333333	0.333333333333333	0.677083333333333	0.28125	0.739583333333333
97	-0.257731958762887	0.247422680412371	-0.309278350515464	0.309278350515464	0.329896907216495	0.670103092783505	0.268041237113402	0.721649484536082	0.329896907216495	0.680412371134021	0.268041237113402	0.721649484536082
98	-0.23469387755102	0.23469387755102	-0.336734693877551	0.306122448979592	0.326530612244898	0.673469387755102	0.275510204081633	0.704081632653061	0.326530612244898	0.673469387755102	0.26530612244898	0.73469387755102
99	-0.242424242424242	0.272727272727273	-0.333333333333333	0.333333333333333	0.323232323232323	0.676767676767677	0.272727272727273	0.727272727272727	0.323232323232323	0.676767676767677	0.272727272727273	0.717171717171717
100	-0.24	0.25	-0.32	0.32	0.33	0.68	0.26	0.74	0.32	0.67	0.27	0.74
101	-0.257425742574257	0.247524752475248	-0.346534653465347	0.306930693069307	0.316831683168317	0.663366336633663	0.257425742574257	0.702970297029703	0.326732673267327	0.663366336633663	0.277227722772277	0.702970297029703
102	-0.254901960784314	0.245098039215686	-0.323529411764706	0.323529411764706	0.323529411764706	0.676470588235294	0.264705882352941	0.715686274509804	0.323529411764706	0.676470588235294	0.274509803921569	0.745098039215686
103	-0.252427184466019	0.252427184466019	-0.339805825242718	0.320388349514563	0.310679611650485	0.660194174757282	0.262135922330097	0.70873786407767	0.310679611650485	0.669902912621359	0.252427184466019	0.718446601941748
104	-0.240384615384615	0.230769230769231	-0.288461538461538	0.317307692307692	0.336538461538462	0.663461538461538	0.269230769230769	0.730769230769231	0.336538461538462	0.682692307692308	0.259615384615385	0.730769230769231
105	-0.247619047619048	0.228571428571429	-0.352380952380952	0.314285714285714	0.323809523809524	0.676190476190476	0.266666666666667	0.704761904761905	0.333333333333333	0.676190476190476	0.276190476190476	0.704761904761905
106	-0.245283018867924	0.254716981132075	-0.320754716981132	0.330188679245283	0.320754716981132	0.669811320754717	0.254716981132075	0.707547169811321	0.320754716981132	0.679245283018868	0.264150943396226	0.716981132075472
107	-0.233644859813084	0.233644859813084	-0.299065420560748	0.308411214953271	0.336448598130841	0.663551401869159	0.280373831775701	0.710280373831776	0.336448598130841	0.672897196261682	0.271028037383178	0.710280373831776
